question,answer
How do I book an appointment?,Log in to your account click on New Appointment on the dashboard select your doctor date and time then confirm your booking.
How can I view my existing appointments?,Go to My Appointments from the dashboard to see all your upcoming and past visits.
Where can I update my personal information?,Click the Settings option in your profile dropdown top right to update your name phone number and address.
Can I change my email address?,No for security reasons email addresses cannot be changed through the portal. Please contact the clinic administrator if you need an update.
How do I reset my password?,Go to Settings then Security to update your password if you are logged in. If you forgot your password use the Forgot Password link on the login page.
Is there a mobile app available?,Yes you can use our mobile app to manage your appointments view medical records and chat with clinic staff on the go.
How can I contact the clinic for support?,You can use the Chat with Clinic feature on your dashboard to speak with our staff in real time.
How do I cancel an appointment?,Navigate to My Appointments find the appointment you wish to cancel and click the Cancel button.
Can I see my past medical history in the app?,Yes patient records and appointment history are available under the Patient Records section for authorized users.
Who can access my information?,Your data is securely stored and only accessible by you and the authorized clinic staff Admin and Doctors.
What should I do if I encounter a bug in the app?,Please report any technical issues through the Chat with Clinic feature or contact the administrator.
How do I know if my appointment is confirmed?,You will receive a notification in the Notifications section of your dashboard once your appointment is approved by the staff.